Reported Date,Name of Entity,Dates of Breach,State Reported,Source(s),Link to PDF,Start Date of Breach,End Date of Breach
2018-05-17 00:00:00,Corporation Service Company,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CorporationServiceCompany.2018-05-17.pdf,Unspecified,
2018-05-09 00:00:00,"TaskRabbit, Inc.",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TaskRabbitInc.2018-05-09.pdf,Unspecified,
2018-05-09 00:00:00,H&R Block,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HRBlock.2018-05-09.pdf,Unspecified,
2018-05-08 00:00:00,Global University,12/31/2017 to 01/31/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/Global%20University.2018-05-08.pdf,2017-12-31 00:00:00,2018-01-31 00:00:00
2018-05-03 00:00:00,Alaska Airlines,10/01/2017 to 12/22/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/News/Press_Releases/AlaskaAirlines.2018.05-04.pdf,2017-10-01 00:00:00,2017-12-22 00:00:00
2018-05-02 00:00:00,"SunTrust Banks, Inc",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SunTrustBanksInc.2018-05-04.pdf,Unspecified,
2018-04-30 00:00:00,Rail Europe North America,11/29/2017 to 02/16/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/RailEuropeNorthAmericaInc.2018-05-7.pdf,2017-11-29 00:00:00,2018-02-16 00:00:00
2018-04-26 00:00:00,Hudson's Bay Company,07/01/2017 to 03/31/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/HudsonBayCompany.2018-04-26.pdf,2017-07-01 00:00:00,2018-03-31 00:00:00
2018-04-24 00:00:00,Sears Holdings,09/27/2017 to 10/12/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SearsHoldings.2018-04-24.pdf,2017-09-27 00:00:00,2017-10-12 00:00:00
2018-04-20 00:00:00,Southwest Airlines Co.,10/01/2017 to 12/22/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/SouthwestAirlinesCo.2018-04-20.pdf,2017-10-01 00:00:00,2017-12-22 00:00:00
2018-04-13 00:00:00,Best Buy Co Inc.,09/26/2017 to 10/12/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/BestBuyCoInc.2018-04-13.pdf,2017-09-26 00:00:00,2017-10-12 00:00:00
2018-04-13 00:00:00,Inogen Inc.,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/InogenInc.2018-04-13.pdf,Unspecified,
2018-04-11 00:00:00,"Delta Airlines, Inc.",09/26/2017 to 10/12/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/DeltaAirlinesInc.2018-04-11.pdf,2017-09-26 00:00:00,2017-10-12 00:00:00
2018-03-27 00:00:00,Manduka,02/25/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Safeguarding_Consumers/Breach%20Manduka.2018-03-27.pdf,2018-02-25 00:00:00,
2018-03-22 00:00:00,American Express Travel Related Services Company,10/01/2017 to 12/22/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AmericanExpressTravelRelatedServicesCompany.2018-03-22.pdf,2017-10-01 00:00:00,2017-12-22 00:00:00
2018-03-20 00:00:00,Orbitz,10/01/2017 to 12/22/2017,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/Orbitz.2018-03-20.pdf,2017-10-01 00:00:00,2017-12-22 00:00:00
2018-03-19 00:00:00,"Bronson Nutritionals, LLC",05/15/2017 to 01/30/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/BronsonNutritionalsLLC.2018-03-19.pdf,2017-05-15 00:00:00,2018-01-30 00:00:00
2018-03-15 00:00:00,"Parker Staffing Services, LLC",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ParkerStaffingServicesLLC.2018-03-26.pdf,Unspecified,
2018-03-08 00:00:00,ABM Industries Incorporated,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ABMIndustriesIncorporated.2018-03-08.pdf,Unspecified,
