Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
Westcor Land Title Insurance Company,5/10/2016,, (in Maryland),Maryland,2016-05-10 00:00:00
Hill+Knowlton,5/11/2016,info emailed to unauthorized recipient,20 (in Maryland),Maryland,2016-05-11 00:00:00
SD Associates P.C.,5/11/2016,hackers,1 (in Maryland),Maryland,2016-05-11 00:00:00
SD Associates P.C.,5/11/2016,hackers,1 (in Maryland),Maryland,2016-05-11 00:00:00
"Medical Colleagues of Texas, LLP",5/11/2016,unauthorized access,18 (in Maryland),Maryland,2016-05-11 00:00:00
"Medical Colleagues of Texas, LLP",5/11/2016,unauthorized access,18 (in Maryland),Maryland,2016-05-11 00:00:00
"MYR Group, Inc.",5/11/2016,phishing,18 (in Maryland),Maryland,2016-05-11 00:00:00
Kalamazoo College,5/11/2016,, (in Maryland),Maryland,2016-05-11 00:00:00
Reiser,5/12/2016,unauthorized access,1 (in Maryland),Maryland,2016-05-12 00:00:00
"USI, Inc.",5/12/2016,info inadvertently emailed,3 (in Maryland),Maryland,2016-05-12 00:00:00
Stream Gas &amp; Electric Ltd.,5/13/2016,unauthorized access, (in Maryland),Maryland,2016-05-13 00:00:00
City College of San Francisco,5/13/2016,phishing,1 (in Maryland),Maryland,2016-05-13 00:00:00
"George Gillian, DDS",5/13/2016,stolen computer, (in Maryland),Maryland,2016-05-13 00:00:00
Distinct Software Solutions DBA Golf 18 Network,5/16/2016,unauthorized access, (in Maryland),Maryland,2016-05-16 00:00:00
"Brinker International, Inc.",5/16/2016,inadvertent error,1 (in Maryland),Maryland,2016-05-16 00:00:00
"Kolodzey &amp; Cox CPAs, PC",5/17/2016,unauthorized access to servers, (in Maryland),Maryland,2016-05-17 00:00:00
"Challain, Inc. dba Batdorf &amp; Bronson Coffee Roasters",5/17/2016,unauthorized access,33 (in Maryland),Maryland,2016-05-17 00:00:00
"USI, Inc.",5/19/2016,info inadvertently emailed to wrong recipient,46 (in Maryland),Maryland,2016-05-19 00:00:00
"Maritz Holdings, Inc.",5/23/2016,phishing,20 (in Maryland),Maryland,2016-05-23 00:00:00
The Kroger Co.,5/24/2016,unauthorized access,17 (in Maryland),Maryland,2016-05-24 00:00:00
Oldcastle Building Envelope,5/24/2016,unauthorized access, (in Maryland),Maryland,2016-05-24 00:00:00
Mid-Ohio Foodbank,5/24/2016,stolen laptop, (in Maryland),Maryland,2016-05-24 00:00:00
Oldcastle Building Envelope,5/24/2016,unauthorized access, (in Maryland),Maryland,2016-05-24 00:00:00
The Pennsylvania State University,5/26/2016,info inadvertently accessible on website,21 (in Maryland),Maryland,2016-05-26 00:00:00
"Macfadden, Inc.",5/26/2016,improper download by former employee, (in Maryland),Maryland,2016-05-26 00:00:00
"Match-Up Solutions, Inc.",5/26/2016,malware,74 (in Maryland),Maryland,2016-05-26 00:00:00
"Stamford Podiatry Group, P.C.",5/27/2016,hackers,32 (in Maryland),Maryland,2016-05-27 00:00:00
"Sirius XM Radio, Inc.",5/27/2016,unauthorized online access,1 (in Maryland),Maryland,2016-05-27 00:00:00
"Spectrum, Inc.",5/27/2016,phishing, (in Maryland),Maryland,2016-05-27 00:00:00
Bank of America,5/27/2016,fraud by former employee, (in Maryland),Maryland,2016-05-27 00:00:00
"Intuit, Inc.",5/27/2016,unauthorized access,28 (in Maryland),Maryland,2016-05-27 00:00:00
"Ben Bridge Jeweler, Inc.",5/27/2016,phishing,1 (in Maryland),Maryland,2016-05-27 00:00:00
"Shoes West Distribution, Inc. dba Taos Footwear",5/27/2016,malware, (in Maryland),Maryland,2016-05-27 00:00:00
Aristech Surfaces,5/27/2016,stolen laptop,1 (in Maryland),Maryland,2016-05-27 00:00:00
Abernathy &amp; Company,5/31/2016,unauthorized access,2 (in Maryland),Maryland,2016-05-31 00:00:00
Maryland Department of Human Resources,5/31/2016,,117 (in Maryland),Maryland,2016-05-31 00:00:00
"ARIAD Pharmaceuticals, Inc.",5/31/2016,phishing,1 (in Maryland),Maryland,2016-05-31 00:00:00
National Network of Abortion Funds,6/1/2016,malware, (in Maryland),Maryland,2016-06-01 00:00:00
Acer Service Corporation,6/1/2016,info stored in unsecure manner,831 (in Maryland),Maryland,2016-06-01 00:00:00
Bucknell University,6/3/2016,potential unauthorized access,241 (in Maryland),Maryland,2016-06-03 00:00:00
Mutual of Omaha Insurance,6/3/2016,info inadvertently accessible online,79 (in Maryland),Maryland,2016-06-03 00:00:00
Marymount University,6/3/2016,unauthorized access, (in Maryland),Maryland,2016-06-03 00:00:00
Marymount University,6/3/2016,unauthorized access, (in Maryland),Maryland,2016-06-03 00:00:00
"Launch That, LLC",6/3/2016,info inadvertently emailed,1 (in Maryland),Maryland,2016-06-03 00:00:00
"Empathia, Inc.",6/6/2016,malware,"1,926 (in Maryland)",Maryland,2016-06-06 00:00:00
"Pasternack Tilker Ziegler Walsh Stanton &amp; Romano, LLP",6/6/2016,data improperly removed by former employee, (in Maryland),Maryland,2016-06-06 00:00:00
"The Quikrete, Inc.",6/7/2016,info inadvertently emailed to incorrect recipient,3 (in Maryland),Maryland,2016-06-07 00:00:00
"Cohen &amp; Grieb, P.A.",6/7/2016,unauthorized access,1 (in Maryland),Maryland,2016-06-07 00:00:00
Northeast Investors Trust,6/7/2016,shareholder statements inadvertently mailed to incorrect address,1 (in Maryland),Maryland,2016-06-07 00:00:00
"37th Parallel Properties INvestment Group, LLC",6/7/2016,unauthorized access to email account,1 (in Maryland),Maryland,2016-06-07 00:00:00
"Frank Day, CPA LLC",6/8/2016,unauthorized access to email account,1 (in Maryland),Maryland,2016-06-08 00:00:00
"Frank Day, CPA LLC",6/8/2016,unauthorized access to email account,1 (in Maryland),Maryland,2016-06-08 00:00:00
State Farm Mutual Automobile Insurance Company,6/9/2016,improper access by former employee, (in Maryland),Maryland,2016-06-09 00:00:00
Wepawaug-Flagg Credit Union,6/9/2016,info inadvertently sent to wrong recipient,1 (in Maryland),Maryland,2016-06-09 00:00:00
Crane Co.,6/10/2016,phishing,2 (in Maryland),Maryland,2016-06-10 00:00:00
MedStar Health,6/10/2016,info inadvertently sent to wrong recipients, (in Maryland),Maryland,2016-06-10 00:00:00
Remedi SeniorCare,6/10/2016,phishing,322 (in Maryland),Maryland,2016-06-10 00:00:00
Trump Hotel Collection,6/10/2016,unauthorized access to database,3 (in Maryland),Maryland,2016-06-10 00:00:00
Remedi SeniorCare,6/10/2016,phishing,322 (in Maryland),Maryland,2016-06-10 00:00:00
MEI-GSR,6/13/2016,malware,124 (in Maryland),Maryland,2016-06-13 00:00:00
Santa Rosa Consulting,6/13/2016,phishing, (in Maryland),Maryland,2016-06-13 00:00:00
intuit Inc.,6/13/2016,unauthorized access, (in Maryland),Maryland,2016-06-13 00:00:00
"Sandler &amp; Travis Trade Advisory Services, LLC",6/13/2016,phishing, (in Maryland),Maryland,2016-06-13 00:00:00
EnvisionPharmacies,6/14/2016,info inadvertently sent to wrong recipient, (in Maryland),Maryland,2016-06-14 00:00:00
EnvisionPharmacies,6/14/2016,info inadvertently sent to wrong recipient, (in Maryland),Maryland,2016-06-14 00:00:00
"BioTime, Inc.",6/14/2016,phishing,1 (in Maryland),Maryland,2016-06-14 00:00:00
"Massachusetts Eye and Ear Infirmary, Inc.",6/15/2016,unauthorized access,1 (in Maryland),Maryland,2016-06-15 00:00:00
Tom McLeod Software Corps,6/15/2016,phishing,1 (in Maryland),Maryland,2016-06-15 00:00:00
Multi-Color,6/15/2016,drive stolen during burglary,6 (in Maryland),Maryland,2016-06-15 00:00:00
Multi-Color,6/15/2016,drive stolen during burglary,6 (in Maryland),Maryland,2016-06-15 00:00:00
Multi-Color,6/15/2016,drive stolen during burglary,6 (in Maryland),Maryland,2016-06-15 00:00:00
Multi-Color,6/15/2016,drive stolen during burglary,6 (in Maryland),Maryland,2016-06-15 00:00:00
"Ameriprise Financial, Inc.",6/15/2016,improper access during computer repair,1 (in Maryland),Maryland,2016-06-15 00:00:00
"Huvco, LLC",6/15/2016,hackers, (in Maryland),Maryland,2016-06-15 00:00:00
Stanford University,6/16/2016,unauthorized accses,6 (in Maryland),Maryland,2016-06-16 00:00:00
Stanford University,6/16/2016,unauthorized accses,6 (in Maryland),Maryland,2016-06-16 00:00:00
Stanford University,6/16/2016,unauthorized accses,6 (in Maryland),Maryland,2016-06-16 00:00:00
"Tiemart, Inc.",6/17/2016,malware,29 (in Maryland),Maryland,2016-06-17 00:00:00
Grand Valley State University,6/17/2016,info lost in the mail,1 (in Maryland),Maryland,2016-06-17 00:00:00
"Tricerat, Inc.",6/17/2016,phishing, (in Maryland),Maryland,2016-06-17 00:00:00
Paul Stuart,6/20/2016,phishing,1 (in Maryland),Maryland,2016-06-20 00:00:00
Paul Stuart,6/20/2016,phishing,1 (in Maryland),Maryland,2016-06-20 00:00:00
Krispy Kreme Donut Corporation,6/20/2016,phishing, (in Maryland),Maryland,2016-06-20 00:00:00
Krispy Kreme Donut Corporation,6/20/2016,phishing, (in Maryland),Maryland,2016-06-20 00:00:00
"AOS, Inc. DBA TradingBlock",6/20/2016,info inadvertently sent to wrong person,1 (in Maryland),Maryland,2016-06-20 00:00:00
National Church Solutions,6/21/2016,virus, (in Maryland),Maryland,2016-06-21 00:00:00
intuit Inc.,6/22/2016,unauthorized access,2 (in Maryland),Maryland,2016-06-22 00:00:00
Bucknell University,6/22/2016,info inadvertently publicly posted,1 (in Maryland),Maryland,2016-06-22 00:00:00
"Sageworks, Inc.",6/22/2016,info improperly retained by former employee,1 (in Maryland),Maryland,2016-06-22 00:00:00
Independent Medical Distributors Association,6/22/2016,stolen laptop, (in Maryland),Maryland,2016-06-22 00:00:00
Independent Medical Distributors Association,6/22/2016,stolen laptop, (in Maryland),Maryland,2016-06-22 00:00:00
Higdon &amp; Hale,6/23/2016,hacking,1 (in Maryland),Maryland,2016-06-23 00:00:00
Washington County Housing and Redevelopment Authority,6/23/2016,hackers,4 (in Maryland),Maryland,2016-06-23 00:00:00
Higdon &amp; Hale,6/23/2016,hacking,1 (in Maryland),Maryland,2016-06-23 00:00:00
Equifax,6/24/2016,unauthorized access,49 (in Maryland),Maryland,2016-06-24 00:00:00
Stanley Wirheim CPA,6/24/2016,unauthorized access,2 (in Maryland),Maryland,2016-06-24 00:00:00
"Uncommon Care, PA",6/27/2016,unauthorized access,8 (in Maryland),Maryland,2016-06-27 00:00:00
"Flynn &amp; Company, Inc. Certified Public Accountants",6/27/2016,unauthorized access,3 (in Maryland),Maryland,2016-06-27 00:00:00
"Gamesa Wind US, LLC",6/27/2016,phishing, (in Maryland),Maryland,2016-06-27 00:00:00
Hard Rock Hotel &amp; Casino Las Vegas,6/27/2016,malware, (in Maryland),Maryland,2016-06-27 00:00:00
Noodles &amp; Company,6/28/2016,malware, (in Maryland),Maryland,2016-06-28 00:00:00
"Rayner, Foos, Kruse and Irwin, CPAs",6/28/2016,unauthorized access to servers,2 (in Maryland),Maryland,2016-06-28 00:00:00
Lumbermens Mutual Insurance Company,6/28/2016,phishing,1 (in Maryland),Maryland,2016-06-28 00:00:00
"KontrolFreek, LLC",6/30/2016,malware,67 (in Maryland),Maryland,2016-06-30 00:00:00
"KontrolFreek, LLC",6/30/2016,malware,67 (in Maryland),Maryland,2016-06-30 00:00:00
"KRT CPAs, P.C.",7/1/2016,hacker,35 (in Maryland),Maryland,2016-07-01 00:00:00
"Wyndham Vacation Resorts, Inc.",7/6/2016,info lost in transit,1 (in Maryland),Maryland,2016-07-06 00:00:00
"NLU Products, LLC",7/6/2016,malware, (in Maryland),Maryland,2016-07-06 00:00:00
"Wyndham Vacation Resorts, Inc.",7/6/2016,info lost in transit,1 (in Maryland),Maryland,2016-07-06 00:00:00
"John J. Capelli, CPA",7/7/2016,unauthorized access to email,2 (in Maryland),Maryland,2016-07-07 00:00:00
"Fidelity National Financial, Inc.",7/7/2016,info inadvertently emailed to wrong recipient,1 (in Maryland),Maryland,2016-07-07 00:00:00
Omi Hotels &amp; Resorts,7/8/2016,malware,699 (in Maryland),Maryland,2016-07-08 00:00:00
Water Environment Federation,7/8/2016,unauthorized access,11 (in Maryland),Maryland,2016-07-08 00:00:00
Vacation Express USA Corp.,7/8/2016,info improperly retained by employee, (in Maryland),Maryland,2016-07-08 00:00:00
Water Environment Federation,7/8/2016,unauthorized access,11 (in Maryland),Maryland,2016-07-08 00:00:00
American Association for the Advancement of Science,7/8/2016,malware, (in Maryland),Maryland,2016-07-08 00:00:00
American Association for the Advancement of Science,7/8/2016,malware, (in Maryland),Maryland,2016-07-08 00:00:00
"Santander Bank, N. A.",7/12/2016,skimmer,1 (in Maryland),Maryland,2016-07-12 00:00:00
intuit Inc.,7/12/2016,unauthorized access,21 (in Maryland),Maryland,2016-07-12 00:00:00
"IAP World Services, Inc.",7/13/2016,hackers,52 (in Maryland),Maryland,2016-07-13 00:00:00
"IAP World Services, Inc.",7/13/2016,hackers,52 (in Maryland),Maryland,2016-07-13 00:00:00
"IAP World Services, Inc.",7/13/2016,hackers,52 (in Maryland),Maryland,2016-07-13 00:00:00
"IAP World Services, Inc.",7/13/2016,hackers,52 (in Maryland),Maryland,2016-07-13 00:00:00
Project Management Institute,7/13/2016,hackers,411 (in Maryland),Maryland,2016-07-13 00:00:00
"North Palm Motors, LLC DBA Napleton&#39;s Car Rental Center",7/14/2016,improperly retained by former employee,204 (in Maryland),Maryland,2016-07-14 00:00:00
USA Field Hockey,7/14/2016,hackers, (in Maryland),Maryland,2016-07-14 00:00:00
North Carolina State University,7/15/2016,phishing,278 (in Maryland),Maryland,2016-07-15 00:00:00
San Antonio Shoemakers,7/15/2016,hackers,76 (in Maryland),Maryland,2016-07-15 00:00:00
Opes Advisors,7/15/2016,compromised login credentials,5 (in Maryland),Maryland,2016-07-15 00:00:00
"Matador Recordings, LLC DBA Matador Direct",7/15/2016,malware, (in Maryland),Maryland,2016-07-15 00:00:00
San Antonio Shoemakers,7/15/2016,hackers,76 (in Maryland),Maryland,2016-07-15 00:00:00
HSBC,7/18/2016,info improperly retained by former employee,3 (in Maryland),Maryland,2016-07-18 00:00:00
Equifax,7/18/2016,phishing,6 (in Maryland),Maryland,2016-07-18 00:00:00
Internet Chess Club,7/19/2016,hackers,31 (in Maryland),Maryland,2016-07-19 00:00:00
"CiCi Enterprises, LP",7/19/2016,hacker, (in Maryland),Maryland,2016-07-19 00:00:00
Internet Chess Club,7/19/2016,hackers,31 (in Maryland),Maryland,2016-07-19 00:00:00
Institute Management Accountants,7/19/2016,hackers,6 (in Maryland),Maryland,2016-07-19 00:00:00
New America,7/19/2016,unauthorized access to employee email,16 (in Maryland),Maryland,2016-07-19 00:00:00
New America,7/19/2016,unauthorized access to employee email,16 (in Maryland),Maryland,2016-07-19 00:00:00
Bank of America,7/20/2016,info improperly retained by former employee, (in Maryland),Maryland,2016-07-20 00:00:00
Virtua,7/20/2016,malware,2 (in Maryland),Maryland,2016-07-20 00:00:00
inVentriv Health,7/21/2016,phishing,218 (in Maryland),Maryland,2016-07-21 00:00:00
inVentiv Health,7/22/2016,phishing,218 (in Maryland),Maryland,2016-07-22 00:00:00
Academy of Nutrition and Dietetics,7/22/2016,hacking/ ransomware,13 (in Maryland),Maryland,2016-07-22 00:00:00
American Society of Safety Engineers,7/22/2016,hacking/ ransomware,4 (in Maryland),Maryland,2016-07-22 00:00:00
"Clear One Funding, LP",7/22/2016,misplaced laptop,1 (in Maryland),Maryland,2016-07-22 00:00:00
American Society of Safety Engineers,7/22/2016,hacking/ ransomware,4 (in Maryland),Maryland,2016-07-22 00:00:00
Academy of Nutrition and Dietetics,7/22/2016,hacking/ ransomware,13 (in Maryland),Maryland,2016-07-22 00:00:00
"Clear One Funding, LP",7/22/2016,misplaced laptop,1 (in Maryland),Maryland,2016-07-22 00:00:00
Primoris Services Corporation,7/25/2016,stolen laptop,3 (in Maryland),Maryland,2016-07-25 00:00:00
"Virginia Premier Health Plan, Inc.",7/26/2016,phishing,3 (in Maryland),Maryland,2016-07-26 00:00:00
Specialty Equipment Market Association,7/26/2016,unauthorized access to servers,4 (in Maryland),Maryland,2016-07-26 00:00:00
"Smith, Patrick, LLC",7/28/2016,hackers,3 (in Maryland),Maryland,2016-07-28 00:00:00
"HoganTaylor, LLP",7/29/2016,info inadvertently emailed to improper recipient, (in Maryland),Maryland,2016-07-29 00:00:00
SportBrella,7/29/2016,hacking,20 (in Maryland),Maryland,2016-07-29 00:00:00
SportBrella,7/29/2016,hacking,20 (in Maryland),Maryland,2016-07-29 00:00:00
"Zero Gravity Solutions, Inc.",7/29/2016,phishing,13 (in Maryland),Maryland,2016-07-29 00:00:00
"Zero Gravity Solutions, Inc.",7/29/2016,phishing,13 (in Maryland),Maryland,2016-07-29 00:00:00
Hein &amp; Associates LLP,8/2/2016,stolen laptop,2 (in Maryland),Maryland,2016-08-02 00:00:00
Comic-Con International,8/2/2016,unauthorized access,1 (in Maryland),Maryland,2016-08-02 00:00:00
"Prosthetic &amp; Orthotic Care, Inc.",8/2/2016,hacking,2 (in Maryland),Maryland,2016-08-02 00:00:00
"Nordic Consulting Partners, Inc.",8/3/2016,info inadvertently attached to email,15 (in Maryland),Maryland,2016-08-03 00:00:00
Banner Health,8/3/2016,hackers,"1,030 (in Maryland)",Maryland,2016-08-03 00:00:00
intuit,8/4/2016,unauthorized access,3 (in Maryland),Maryland,2016-08-04 00:00:00
AAA Life Insurance Company,8/4/2016,improper access by employee, (in Maryland),Maryland,2016-08-04 00:00:00
"Travel Caddy, Inc. DBA Travelon",8/4/2016,malware,36 (in Maryland),Maryland,2016-08-04 00:00:00
"Travel Caddy, Inc. DBA Travelon",8/4/2016,malware,36 (in Maryland),Maryland,2016-08-04 00:00:00
Multi-Color Corporation,8/5/2016,stolen hard drive,3 (in Maryland),Maryland,2016-08-05 00:00:00
"Securities America, Inc.",8/6/2016,unauthorized access,1 (in Maryland),Maryland,2016-08-06 00:00:00
"Securities America, Inc.",8/6/2016,unauthorized access,1 (in Maryland),Maryland,2016-08-06 00:00:00
Society for Industrial and Applied Mathematics,8/8/2016,malware,2 (in Maryland),Maryland,2016-08-08 00:00:00
"TD Bank, N.A.",8/8/2016,unauthorized access,10 (in Maryland),Maryland,2016-08-08 00:00:00
"EBSCO Industries, Inc.",8/8/2016,malware, (in Maryland),Maryland,2016-08-08 00:00:00
"EBSCO Industries, Inc.",8/8/2016,malware, (in Maryland),Maryland,2016-08-08 00:00:00
"7-Eleven, Inc.",8/8/2016,records inadvertently available during database updates, (in Maryland),Maryland,2016-08-08 00:00:00
"MedAtltus, LLC",8/9/2016,hackers, (in Maryland),Maryland,2016-08-09 00:00:00
"The Building Industry Consulting Service International, Inc.",8/9/2016,hacking,4 (in Maryland),Maryland,2016-08-09 00:00:00
Penn State Alumni Association,8/10/2016,hacking, (in Maryland),Maryland,2016-08-10 00:00:00
"Cardiology Associates, LLC",8/10/2016,improper access by employee,524 (in Maryland),Maryland,2016-08-10 00:00:00
FSC Securities Corporation,8/10/2016,hacking,2 (in Maryland),Maryland,2016-08-10 00:00:00
"PAX Labs, Inc.",8/11/2016,malware, (in Maryland),Maryland,2016-08-11 00:00:00
"PAX Labs, Inc.",8/11/2016,malware, (in Maryland),Maryland,2016-08-11 00:00:00
"GDI Services, Inc.",8/12/2016,malware, (in Maryland),Maryland,2016-08-12 00:00:00
Americal College of Emergency Physicians,8/15/2016,unauthorized access,7 (in Maryland),Maryland,2016-08-15 00:00:00
"TD Bank, N.A.",8/15/2016,unauthorized access,1 (in Maryland),Maryland,2016-08-15 00:00:00
The Shoppe Designs,8/15/2016,malware,1 (in Maryland),Maryland,2016-08-15 00:00:00
"Precision Pipeline, LLC",8/15/2016,phishing,5 (in Maryland),Maryland,2016-08-15 00:00:00
First mortgage Corp.,8/16/2016,stolen laptop,139 (in Maryland),Maryland,2016-08-16 00:00:00
HEI Hotels &amp; Resorts,8/16/2016,malicious software, (in Maryland),Maryland,2016-08-16 00:00:00
Democratic National Committee,8/17/2016,"hacking, malware",14 (in Maryland),Maryland,2016-08-17 00:00:00
"Eddie Bauer, LLC",8/18/2016,malware,"23,080 (in Maryland)",Maryland,2016-08-18 00:00:00
"Eddie Bauer, LLC",8/18/2016,malware,"23,080 (in Maryland)",Maryland,2016-08-18 00:00:00
"Newkirk Products, Inc.",8/19/2016,hackers, (in Maryland),Maryland,2016-08-19 00:00:00
"Schwan&#39;s Home Service, Inc.",8/19/2016,hacker,278 (in Maryland),Maryland,2016-08-19 00:00:00
"Citibank, N.A.",8/19/2016,unauthorized access,2 (in Maryland),Maryland,2016-08-19 00:00:00
"Matouk Factory Store, Inc. DBA Matouk Ecommerce Boutique",8/19/2016,malware,10 (in Maryland),Maryland,2016-08-19 00:00:00
"Matouk Factory Store, Inc. DBA Matouk Ecommerce Boutique",8/19/2016,malware,10 (in Maryland),Maryland,2016-08-19 00:00:00
Cigna Group Insurance,8/19/2016,inadvertently disclosed, (in Maryland),Maryland,2016-08-19 00:00:00
Woodcliff Lake Board of Education,8/19/2016,unauthorized access to database,5 (in Maryland),Maryland,2016-08-19 00:00:00
"DXE Medical, Inc.",8/19/2016,malware, (in Maryland),Maryland,2016-08-19 00:00:00
"Higher One, Inc.",8/19/2016,improper access, (in Maryland),Maryland,2016-08-19 00:00:00
SP Plus Corporation,8/19/2016,malware, (in Maryland),Maryland,2016-08-19 00:00:00
W.C. Ralston Architects,8/20/2016,unauthorized access to server,1 (in Maryland),Maryland,2016-08-20 00:00:00
City of Annapolis,8/20/2016,malware, (in Maryland),Maryland,2016-08-20 00:00:00
intuit,8/22/2016,unauthorized access,6 (in Maryland),Maryland,2016-08-22 00:00:00
Toyta Motor Credit Corporation,8/22/2016,info inadvertently emailed,203 (in Maryland),Maryland,2016-08-22 00:00:00
Toyta Motor Credit Corporation,8/22/2016,info inadvertently emailed,203 (in Maryland),Maryland,2016-08-22 00:00:00
"Valley Anesthesiology Consultants, Inc. DBA Valley Anesthesiology and Pain Consultants",8/23/2016,unauthorized access, (in Maryland),Maryland,2016-08-23 00:00:00
Noble House Hotels &amp; Resorts,8/24/2016,unauthorized access,18 (in Maryland),Maryland,2016-08-24 00:00:00
Birch Communications,8/25/2016,info inadvertently attached in email, (in Maryland),Maryland,2016-08-25 00:00:00
Michelle A. Pecora CPA P.C.,8/25/2016,stolen laptop,1 (in Maryland),Maryland,2016-08-25 00:00:00
"Citibank, N.A.",8/25/2016,unauthorized access,19 (in Maryland),Maryland,2016-08-25 00:00:00
Wor-Wic Community College,8/25/2016,unauthorized access,2 (in Maryland),Maryland,2016-08-25 00:00:00
The Prudential Insurance Company of America,8/29/2016,inadvertent error,2 (in Maryland),Maryland,2016-08-29 00:00:00
"Visionary Consulting Partners, LLC",8/29/2016,stolen laptop,1 (in Maryland),Maryland,2016-08-29 00:00:00
"Gray Television, Inc.",8/30/2016,thumb drive lost in delivery, (in Maryland),Maryland,2016-08-30 00:00:00
Exterran,8/30/2016,stolen laptops,6 (in Maryland),Maryland,2016-08-30 00:00:00
"M Holdings Securities, Inc.",8/31/2016,stolen laptop,533 (in Maryland),Maryland,2016-08-31 00:00:00
Buttrick Asset Management,8/31/2016,technical support scam,1 (in Maryland),Maryland,2016-08-31 00:00:00
"Presnell Gage, PLLC",8/31/2016,unauthorized access,7 (in Maryland),Maryland,2016-08-31 00:00:00
"Presnell Gage, PLLC",8/31/2016,unauthorized access,7 (in Maryland),Maryland,2016-08-31 00:00:00
Kimpton Hotels &amp; Restaurants,8/31/2016,unauthorized access,"4,374 (in Maryland)",Maryland,2016-08-31 00:00:00
Kimpton Hotels &amp; Restaurants,8/31/2016,unauthorized access,"4,374 (in Maryland)",Maryland,2016-08-31 00:00:00
Southern Bank and Trust Company,9/2/2016,unauthorized access,3 (in Maryland),Maryland,2016-09-02 00:00:00
QR Lending,9/2/2016,phishing,2 (in Maryland),Maryland,2016-09-02 00:00:00
Noble House Hotels &amp; Resorts,9/2/2016,malware,203 (in Maryland),Maryland,2016-09-02 00:00:00
"Seterus, Inc.",9/7/2016,info mailed to incorrect address,4 (in Maryland),Maryland,2016-09-07 00:00:00
Zuman,9/7/2016,stolen laptops,1 (in Maryland),Maryland,2016-09-07 00:00:00
"TD Bank, N.A.",9/8/2016,improper access by employee,10 (in Maryland),Maryland,2016-09-08 00:00:00
University Gastroenterology,9/8/2016,unauthorized access,13 (in Maryland),Maryland,2016-09-08 00:00:00
Rebecca Minkoff,9/9/2016,unauthorized access,111 (in Maryland),Maryland,2016-09-09 00:00:00
Rebecca Minkoff,9/9/2016,unauthorized access,111 (in Maryland),Maryland,2016-09-09 00:00:00
The Outer Banks Hospital,9/9/2016,flash drives lost during a move,1 (in Maryland),Maryland,2016-09-09 00:00:00
Jubilant Cadista,9/9/2016,hackers, (in Maryland),Maryland,2016-09-09 00:00:00
Metabolon,9/9/2016,malware,1 (in Maryland),Maryland,2016-09-09 00:00:00
"Bolttech Mannings, Inc.",9/14/2016,spear phishing,2 (in Maryland),Maryland,2016-09-14 00:00:00
Flowserve Corporation,9/15/2016,unauthorized access,2 (in Maryland),Maryland,2016-09-15 00:00:00
Flowserve Corporation,9/15/2016,unauthorized access,2 (in Maryland),Maryland,2016-09-15 00:00:00
"Lulu&#39;s Fashion Lounge, Inc.",9/15/2016,unauthorized access,272 (in Maryland),Maryland,2016-09-15 00:00:00
intuit Inc.,9/16/2016,unauthorized access as a result of fraudulent account long-ins,2 (in Maryland),Maryland,2016-09-16 00:00:00
ACTIVEOutdoors,9/16/2016,unauthorized access,"4,097 (in Maryland)",Maryland,2016-09-16 00:00:00
Freddie Mac Pension Plan,9/19/2016,unauthorized access,346 (in Maryland),Maryland,2016-09-19 00:00:00
"Ascenss, Inc.",9/20/2016,info inadvertently accessible on website, (in Maryland),Maryland,2016-09-20 00:00:00
New Jersey Spine Center,9/21/2016,ransomware,9 (in Maryland),Maryland,2016-09-21 00:00:00
New Jersey Spine Center,9/21/2016,ransomware,9 (in Maryland),Maryland,2016-09-21 00:00:00
"Ursus Holdings, LLC",9/21/2016,spear phishing,266 (in Maryland),Maryland,2016-09-21 00:00:00
"Ursus Holdings, LLC",9/21/2016,spear phishing,266 (in Maryland),Maryland,2016-09-21 00:00:00
"Stallcup &amp; Associates, CPAs",9/21/2016,ransomware,4 (in Maryland),Maryland,2016-09-21 00:00:00
Napa Valley Dentistry,9/22/2016,stolen server, (in Maryland),Maryland,2016-09-22 00:00:00
Napa Valley Dentistry,9/22/2016,stolen server, (in Maryland),Maryland,2016-09-22 00:00:00
ScentLok,9/23/2016,malware, (in Maryland),Maryland,2016-09-23 00:00:00
"IMX Medical Management Services, Inc.",9/23/2016,info inadvertently viewable on website,7 (in Maryland),Maryland,2016-09-23 00:00:00
"TD Bank, N.A.",9/26/2016,improper access by employee,1 (in Maryland),Maryland,2016-09-26 00:00:00
intuit Inc.,9/26/2016,unauthorized access as a result of fraudulent log-ins,7 (in Maryland),Maryland,2016-09-26 00:00:00
Novation,9/26/2016,unauthorized access,190 (in Maryland),Maryland,2016-09-26 00:00:00
BECU,9/27/2016,hackers,2 (in Maryland),Maryland,2016-09-27 00:00:00
MetLife,9/27/2016,inadvertently emailed to incorrect address,15 (in Maryland),Maryland,2016-09-27 00:00:00
Ebby Halliday Realtors,9/27/2016,unauthorized access to email address,2 (in Maryland),Maryland,2016-09-27 00:00:00
Principal Financial Group,9/28/2016,info inadvertently uploaded,1 (in Maryland),Maryland,2016-09-28 00:00:00
"VF Outlet, Inc.",9/28/2016,hackers,175 (in Maryland),Maryland,2016-09-28 00:00:00
Thomasville Eye Center,9/28/2016,unauthorized access,2 (in Maryland),Maryland,2016-09-28 00:00:00
Thomasville Eye Center,9/28/2016,unauthorized access,2 (in Maryland),Maryland,2016-09-28 00:00:00
