Name of Entity,Link to PDF,State Reported,Source(s),Date Notice Provided to Consumers
Welk Resort Group ,https://ago.vermont.gov/blog/2019/02/22/welk-resort-group-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-22
Direct Scripts ,https://ago.vermont.gov/blog/2019/02/22/direct-scripts-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-22
The Topps Company Inc. ,https://ago.vermont.gov/blog/2019/02/21/the-topps-company-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-21
Rennline Automotive ,https://ago.vermont.gov/blog/2019/02/21/rennline-automotive-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-21
"Direct Distributors, Inc ",https://ago.vermont.gov/blog/2019/02/21/direct-distributors-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-21
"Data Facts, Inc ",https://ago.vermont.gov/blog/2019/02/21/data-facts-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-21
Wentworth Institute of Technology ,https://ago.vermont.gov/blog/2019/02/19/wentworth-institute-of-technology-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-19
2018-10-05 Five Below Inc ,https://ago.vermont.gov/blog/2019/02/15/2018-10-05-five-below-inc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-15
North 40 ,https://ago.vermont.gov/blog/2019/02/15/north-40-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-15
Print EZ ,https://ago.vermont.gov/blog/2019/02/15/print-ez-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-15
Pillow Pets ,https://ago.vermont.gov/blog/2019/02/15/pillow-pets-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-15
Ascension Data & Analytics LLC ,https://ago.vermont.gov/blog/2019/02/12/ascension-data-analytics-llc-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-12
"American Tire Distributors, Inc. ",https://ago.vermont.gov/blog/2019/02/08/american-tire-distributors-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-08
"Katz, Sapper & Miller ",https://ago.vermont.gov/blog/2019/02/08/katz-sapper-miller-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-08
"Dunkin Brands, Inc. ",https://ago.vermont.gov/blog/2019/02/08/dunkin-brands-inc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-08
"American Tire Distributors, Inc. ",https://ago.vermont.gov/blog/2019/02/08/american-tire-distributors-inc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-08
Graf & Sons Inc. ,https://ago.vermont.gov/blog/2019/02/06/grav-sons-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Pharmacy Times Office fo Continuing Professional Education LLC ,https://ago.vermont.gov/blog/2019/02/06/pharmacy-times-office-fo-continuing-professional-education-llc-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Graf & Sons Inc. ,https://ago.vermont.gov/blog/2019/02/06/graf-sons-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Akwa Vista LLC S,https://ago.vermont.gov/blog/2019/02/06/akwa-vista-llc-snotice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Pharmacy Times Office fo Continuing Professional Education LLC ,https://ago.vermont.gov/blog/2019/02/06/pharmacy-times-office-fo-continuing-professional-education-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Akwa Vista LLC ,https://ago.vermont.gov/blog/2019/02/06/akwa-vista-llc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-06
Abbott Laboratories ,https://ago.vermont.gov/blog/2019/02/05/abbott-laboratories-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-05
Don Best Sports Corporation and DBS Canada Corporation ,https://ago.vermont.gov/blog/2019/02/05/don-best-sports-corporation-and-dbs-canada-corporation-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-05
Abbott Laboratories ,https://ago.vermont.gov/blog/2019/02/05/abbott-laboratories-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-02-05
"Borough of Beach Haven, New Jersey ",https://ago.vermont.gov/blog/2019/01/31/borough-of-beach-haven-new-jersey-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
Supplemental Reliable REspiratory ,https://ago.vermont.gov/blog/2019/01/31/supplemental-reliable-respiratory-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
Saline Picture Frame Company ,https://ago.vermont.gov/blog/2019/01/31/saline-picture-frame-company-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
Reliable Respiratory ,https://ago.vermont.gov/blog/2019/01/31/reliable-respiratory-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
Defenders Inc ,https://ago.vermont.gov/blog/2019/01/31/defenders-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
"Borough of Beach Haven, New Jersey ",https://ago.vermont.gov/blog/2019/01/31/borough-of-beach-haven-new-jersey-notice-of-data-breach-to-consumers-2/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-31
"Image-I-Nation Technologies, Inc. ",https://ago.vermont.gov/blog/2019/01/30/image-i-nation-technologies-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-30
"2019-01-30 Image-I-Nation Technologies, Inc. ",https://ago.vermont.gov/blog/2019/01/30/2019-01-30-image-i-nation-technologies-inc-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-30
AdventHealth Medical Group ,https://ago.vermont.gov/blog/2019/01/29/adventhealth-medical-group-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-29
Wausau MedMal Management Services ,https://ago.vermont.gov/blog/2019/01/25/wausau-medmal-management-services-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-25
Association of National Advertisers ,https://ago.vermont.gov/blog/2019/01/25/association-of-national-advertisers-sbn-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-25
Nova Southeastern University ,https://ago.vermont.gov/blog/2019/01/25/nova-southeastern-university-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-25
NCH Corporation ,https://ago.vermont.gov/blog/2019/01/25/nch-corporation-notice-of-data-breach-to-consumers/,Vermont,https://ago.vermont.gov/archived-security-breaches/,2019-01-25
